Path|Owners|Online?|PS (HIon)|Datasets (SmartPS)|Streams|L1T Seed
DQM_HIEcalReconstruction_v6|TSG (DQM)|Yes|5000|HIDQMGPUvsCPU|HIDQMGPUvsCPU|L1GlobalDecision
DQM_HIHcalReconstruction_v4|TSG (DQM)|Yes|5000|HIDQMGPUvsCPU|HIDQMGPUvsCPU|L1GlobalDecision
DST_Physics_v10|TSG|Yes|10|L1Accept|NanoDST|
HLT_HIEphemeralPhysics_v1|TSG|Yes|0|HIEphemeralHLTPhysics|PhysicsHIHLTPhysics|
HLT_HIEphemeralZeroBias_v1|TSG|Yes|0|HIEphemeralZeroBias0, HIEphemeralZeroBias1|PhysicsHIZeroBias, PhysicsHIZeroBias|L1_ZeroBias_copy
HLT_EcalCalibration_v4|AlCa, ECAL|Yes|1|EcalLaser, TestEnablesEcalHcal, TestEnablesEcalHcalDQM|Calibration, DQMCalibration, EcalCalibration|
HLT_HcalCalibration_v6|AlCa, HCAL|Yes|1|TestEnablesEcalHcal, TestEnablesEcalHcalDQM|Calibration, DQMCalibration|
HLT_HIL1NotBptxOR_v10|HIN|Yes|1|HIEmptyBX, HIExpressPhysics, HIExpressPhysicsRawPrime, HIOnlineMonitor|HIDQM, HIExpress, HIExpressRawPrime, PhysicsHICommissioning|L1_NotBptxOR
HLT_HIL1UnpairedBunchBptxPlus_v10|HIN|Yes|1|HIEmptyBX, HIExpressPhysics, HIExpressPhysicsRawPrime, HIOnlineMonitor|HIDQM, HIExpress, HIExpressRawPrime, PhysicsHICommissioning|L1_UnpairedBunchBptxPlus
HLT_HIL1UnpairedBunchBptxMinus_v10|HIN|Yes|1|HIEmptyBX, HIExpressPhysics, HIExpressPhysicsRawPrime, HIOnlineMonitor|HIDQM, HIExpress, HIExpressRawPrime, PhysicsHICommissioning|L1_UnpairedBunchBptxMinus
HLT_HIPhysics_v10|HIN|Yes|20|HIExpressPhysics(2), HIExpressPhysicsRawPrime(2), HIHLTPhysics, HIOnlineMonitor|HIDQM, HIExpress, HIExpressRawPrime, PhysicsHICommissioning|
HLT_HIPhysicsForZS_v10|HIN|Yes|20|HITrackerNZS|PhysicsHITrackerNZS|
HLT_HIRandom_v7|HIN|Yes|10|HIExpressPhysics, HIExpressPhysicsRawPrime, HIOnlineMonitor(3), HIPhysicsRawPrime0, HIPhysicsRawPrime1, HIPhysicsRawPrime10, HIPhysicsRawPrime11, HIPhysicsRawPrime12, HIPhysicsRawPrime13, HIPhysicsRawPrime14, HIPhysicsRawPrime15, HIPhysicsRawPrime16, HIPhysicsRawPrime17, HIPhysicsRawPrime18, HIPhysicsRawPrime19, HIPhysicsRawPrime2, HIPhysicsRawPrime20, HIPhysicsRawPrime21, HIPhysicsRawPrime22, HIPhysicsRawPrime23, HIPhysicsRawPrime24, HIPhysicsRawPrime25, HIPhysicsRawPrime26, HIPhysicsRawPrime27, HIPhysicsRawPrime28, HIPhysicsRawPrime29, HIPhysicsRawPrime3, HIPhysicsRawPrime30, HIPhysicsRawPrime31, HIPhysicsRawPrime4, HIPhysicsRawPrime5, HIPhysicsRawPrime6, HIPhysicsRawPrime7, HIPhysicsRawPrime8, HIPhysicsRawPrime9|HIDQM, HIExpress, HIExpressRawPrime, PhysicsHIPhysicsRawPrime0, PhysicsHIPhysicsRawPrime1, PhysicsHIPhysicsRawPrime10, PhysicsHIPhysicsRawPrime11, PhysicsHIPhysicsRawPrime12, PhysicsHIPhysicsRawPrime13, PhysicsHIPhysicsRawPrime14, PhysicsHIPhysicsRawPrime15, PhysicsHIPhysicsRawPrime16, PhysicsHIPhysicsRawPrime17, PhysicsHIPhysicsRawPrime18, PhysicsHIPhysicsRawPrime19, PhysicsHIPhysicsRawPrime2, PhysicsHIPhysicsRawPrime20, PhysicsHIPhysicsRawPrime21, PhysicsHIPhysicsRawPrime22, PhysicsHIPhysicsRawPrime23, PhysicsHIPhysicsRawPrime24, PhysicsHIPhysicsRawPrime25, PhysicsHIPhysicsRawPrime26, PhysicsHIPhysicsRawPrime27, PhysicsHIPhysicsRawPrime28, PhysicsHIPhysicsRawPrime29, PhysicsHIPhysicsRawPrime3, PhysicsHIPhysicsRawPrime30, PhysicsHIPhysicsRawPrime31, PhysicsHIPhysicsRawPrime4, PhysicsHIPhysicsRawPrime5, PhysicsHIPhysicsRawPrime6, PhysicsHIPhysicsRawPrime7, PhysicsHIPhysicsRawPrime8, PhysicsHIPhysicsRawPrime9|
HLT_HIRandom_HighRate_v1|HIN|Yes|0|HIPhysicsRawPrime0, HIPhysicsRawPrime1, HIPhysicsRawPrime10, HIPhysicsRawPrime11, HIPhysicsRawPrime12, HIPhysicsRawPrime13, HIPhysicsRawPrime14, HIPhysicsRawPrime15, HIPhysicsRawPrime16, HIPhysicsRawPrime17, HIPhysicsRawPrime18, HIPhysicsRawPrime19, HIPhysicsRawPrime2, HIPhysicsRawPrime20, HIPhysicsRawPrime21, HIPhysicsRawPrime22, HIPhysicsRawPrime23, HIPhysicsRawPrime24, HIPhysicsRawPrime25, HIPhysicsRawPrime26, HIPhysicsRawPrime27, HIPhysicsRawPrime28, HIPhysicsRawPrime29, HIPhysicsRawPrime3, HIPhysicsRawPrime30, HIPhysicsRawPrime31, HIPhysicsRawPrime4, HIPhysicsRawPrime5, HIPhysicsRawPrime6, HIPhysicsRawPrime7, HIPhysicsRawPrime8, HIPhysicsRawPrime9|PhysicsHIPhysicsRawPrime0, PhysicsHIPhysicsRawPrime1, PhysicsHIPhysicsRawPrime10, PhysicsHIPhysicsRawPrime11, PhysicsHIPhysicsRawPrime12, PhysicsHIPhysicsRawPrime13, PhysicsHIPhysicsRawPrime14, PhysicsHIPhysicsRawPrime15, PhysicsHIPhysicsRawPrime16, PhysicsHIPhysicsRawPrime17, PhysicsHIPhysicsRawPrime18, PhysicsHIPhysicsRawPrime19, PhysicsHIPhysicsRawPrime2, PhysicsHIPhysicsRawPrime20, PhysicsHIPhysicsRawPrime21, PhysicsHIPhysicsRawPrime22, PhysicsHIPhysicsRawPrime23, PhysicsHIPhysicsRawPrime24, PhysicsHIPhysicsRawPrime25, PhysicsHIPhysicsRawPrime26, PhysicsHIPhysicsRawPrime27, PhysicsHIPhysicsRawPrime28, PhysicsHIPhysicsRawPrime29, PhysicsHIPhysicsRawPrime3, PhysicsHIPhysicsRawPrime30, PhysicsHIPhysicsRawPrime31, PhysicsHIPhysicsRawPrime4, PhysicsHIPhysicsRawPrime5, PhysicsHIPhysicsRawPrime6, PhysicsHIPhysicsRawPrime7, PhysicsHIPhysicsRawPrime8, PhysicsHIPhysicsRawPrime9|
HLT_HIHcalNZS_v10|HIN|Yes|1|HIHcalNZS, HIOnlineMonitor(3)|HIDQM, PhysicsHICommissioning|L1_ZeroBias OR L1_SingleJet56_BptxAND
HLT_HIHcalPhiSym_v10|HIN|Yes|1|HIHcalNZS, HIOnlineMonitor(3)|HIDQM, PhysicsHICommissioning|L1_SingleEG21_BptxAND OR L1_SingleMuOpen_BptxAND
HLT_HIZeroBias_v10|HIN|Yes|200|HIExpressPhysics, HIExpressPhysicsRawPrime, HIOnlineMonitor|HIDQM, HIExpress, HIExpressRawPrime|L1_ZeroBias
HLT_HIZeroBias_HighRate_v1|HIN|Yes|0|HIPhysicsRawPrime0, HIPhysicsRawPrime1, HIPhysicsRawPrime10, HIPhysicsRawPrime11, HIPhysicsRawPrime12, HIPhysicsRawPrime13, HIPhysicsRawPrime14, HIPhysicsRawPrime15, HIPhysicsRawPrime16, HIPhysicsRawPrime17, HIPhysicsRawPrime18, HIPhysicsRawPrime19, HIPhysicsRawPrime2, HIPhysicsRawPrime20, HIPhysicsRawPrime21, HIPhysicsRawPrime22, HIPhysicsRawPrime23, HIPhysicsRawPrime24, HIPhysicsRawPrime25, HIPhysicsRawPrime26, HIPhysicsRawPrime27, HIPhysicsRawPrime28, HIPhysicsRawPrime29, HIPhysicsRawPrime3, HIPhysicsRawPrime30, HIPhysicsRawPrime31, HIPhysicsRawPrime4, HIPhysicsRawPrime5, HIPhysicsRawPrime6, HIPhysicsRawPrime7, HIPhysicsRawPrime8, HIPhysicsRawPrime9|PhysicsHIPhysicsRawPrime0, PhysicsHIPhysicsRawPrime1, PhysicsHIPhysicsRawPrime10, PhysicsHIPhysicsRawPrime11, PhysicsHIPhysicsRawPrime12, PhysicsHIPhysicsRawPrime13, PhysicsHIPhysicsRawPrime14, PhysicsHIPhysicsRawPrime15, PhysicsHIPhysicsRawPrime16, PhysicsHIPhysicsRawPrime17, PhysicsHIPhysicsRawPrime18, PhysicsHIPhysicsRawPrime19, PhysicsHIPhysicsRawPrime2, PhysicsHIPhysicsRawPrime20, PhysicsHIPhysicsRawPrime21, PhysicsHIPhysicsRawPrime22, PhysicsHIPhysicsRawPrime23, PhysicsHIPhysicsRawPrime24, PhysicsHIPhysicsRawPrime25, PhysicsHIPhysicsRawPrime26, PhysicsHIPhysicsRawPrime27, PhysicsHIPhysicsRawPrime28, PhysicsHIPhysicsRawPrime29, PhysicsHIPhysicsRawPrime3, PhysicsHIPhysicsRawPrime30, PhysicsHIPhysicsRawPrime31, PhysicsHIPhysicsRawPrime4, PhysicsHIPhysicsRawPrime5, PhysicsHIPhysicsRawPrime6, PhysicsHIPhysicsRawPrime7, PhysicsHIPhysicsRawPrime8, PhysicsHIPhysicsRawPrime9|L1_ZeroBias_copy
HLT_HIZeroBias_FirstCollisionAfterAbortGap_v10|HIN|Yes|1|HIExpressPhysics, HIExpressPhysicsRawPrime, HIOnlineMonitor|HIDQM, HIExpress, HIExpressRawPrime|L1_FirstCollisionInOrbit
HLT_HIMinimumBiasHF1AND_v3|HIN|Yes|1|HIMinimumBias0, HIMinimumBias1, HIMinimumBias2, HIMinimumBias3, HIPhysicsRawPrime0, HIPhysicsRawPrime1, HIPhysicsRawPrime10, HIPhysicsRawPrime11, HIPhysicsRawPrime12, HIPhysicsRawPrime13, HIPhysicsRawPrime14, HIPhysicsRawPrime15, HIPhysicsRawPrime16, HIPhysicsRawPrime17, HIPhysicsRawPrime18, HIPhysicsRawPrime19, HIPhysicsRawPrime2, HIPhysicsRawPrime20, HIPhysicsRawPrime21, HIPhysicsRawPrime22, HIPhysicsRawPrime23, HIPhysicsRawPrime24, HIPhysicsRawPrime25, HIPhysicsRawPrime26, HIPhysicsRawPrime27, HIPhysicsRawPrime28, HIPhysicsRawPrime29, HIPhysicsRawPrime3, HIPhysicsRawPrime30, HIPhysicsRawPrime31, HIPhysicsRawPrime4, HIPhysicsRawPrime5, HIPhysicsRawPrime6, HIPhysicsRawPrime7, HIPhysicsRawPrime8, HIPhysicsRawPrime9|PhysicsHIMinimumBias0, PhysicsHIMinimumBias1, PhysicsHIMinimumBias2, PhysicsHIMinimumBias3, PhysicsHIPhysicsRawPrime0, PhysicsHIPhysicsRawPrime1, PhysicsHIPhysicsRawPrime10, PhysicsHIPhysicsRawPrime11, PhysicsHIPhysicsRawPrime12, PhysicsHIPhysicsRawPrime13, PhysicsHIPhysicsRawPrime14, PhysicsHIPhysicsRawPrime15, PhysicsHIPhysicsRawPrime16, PhysicsHIPhysicsRawPrime17, PhysicsHIPhysicsRawPrime18, PhysicsHIPhysicsRawPrime19, PhysicsHIPhysicsRawPrime2, PhysicsHIPhysicsRawPrime20, PhysicsHIPhysicsRawPrime21, PhysicsHIPhysicsRawPrime22, PhysicsHIPhysicsRawPrime23, PhysicsHIPhysicsRawPrime24, PhysicsHIPhysicsRawPrime25, PhysicsHIPhysicsRawPrime26, PhysicsHIPhysicsRawPrime27, PhysicsHIPhysicsRawPrime28, PhysicsHIPhysicsRawPrime29, PhysicsHIPhysicsRawPrime3, PhysicsHIPhysicsRawPrime30, PhysicsHIPhysicsRawPrime31, PhysicsHIPhysicsRawPrime4, PhysicsHIPhysicsRawPrime5, PhysicsHIPhysicsRawPrime6, PhysicsHIPhysicsRawPrime7, PhysicsHIPhysicsRawPrime8, PhysicsHIPhysicsRawPrime9|L1_MinimumBiasHF1_AND_BptxAND
HLT_HIMinimumBiasHF1AND_copy_v2|HIN|Yes|1000|HIEventDisplay(20), HIExpressPhysics, HIExpressPhysicsRawPrime, HIOnlineMonitor(20)|HIDQM, HIDQMEventDisplay, HIExpress, HIExpressRawPrime|L1_MinimumBiasHF1_AND_BptxAND
HLT_HIMinimumBiasHF1AND_Beamspot_v3|HIN, AlCa, TRK|Yes|1000|HIDQMOnlineBeamspot, HIExpressAlignment|HIDQMOnlineBeamspot, HIExpressAlignment|L1_MinimumBiasHF1_AND_BptxAND
HLT_HIMinimumBiasHF1ANDZDC2nOR_v3|HIN|Yes|1|HIMinimumBias0, HIMinimumBias1, HIMinimumBias2, HIMinimumBias3, HIPhysicsRawPrime0, HIPhysicsRawPrime1, HIPhysicsRawPrime10, HIPhysicsRawPrime11, HIPhysicsRawPrime12, HIPhysicsRawPrime13, HIPhysicsRawPrime14, HIPhysicsRawPrime15, HIPhysicsRawPrime16, HIPhysicsRawPrime17, HIPhysicsRawPrime18, HIPhysicsRawPrime19, HIPhysicsRawPrime2, HIPhysicsRawPrime20, HIPhysicsRawPrime21, HIPhysicsRawPrime22, HIPhysicsRawPrime23, HIPhysicsRawPrime24, HIPhysicsRawPrime25, HIPhysicsRawPrime26, HIPhysicsRawPrime27, HIPhysicsRawPrime28, HIPhysicsRawPrime29, HIPhysicsRawPrime3, HIPhysicsRawPrime30, HIPhysicsRawPrime31, HIPhysicsRawPrime4, HIPhysicsRawPrime5, HIPhysicsRawPrime6, HIPhysicsRawPrime7, HIPhysicsRawPrime8, HIPhysicsRawPrime9|PhysicsHIMinimumBias0, PhysicsHIMinimumBias1, PhysicsHIMinimumBias2, PhysicsHIMinimumBias3, PhysicsHIPhysicsRawPrime0, PhysicsHIPhysicsRawPrime1, PhysicsHIPhysicsRawPrime10, PhysicsHIPhysicsRawPrime11, PhysicsHIPhysicsRawPrime12, PhysicsHIPhysicsRawPrime13, PhysicsHIPhysicsRawPrime14, PhysicsHIPhysicsRawPrime15, PhysicsHIPhysicsRawPrime16, PhysicsHIPhysicsRawPrime17, PhysicsHIPhysicsRawPrime18, PhysicsHIPhysicsRawPrime19, PhysicsHIPhysicsRawPrime2, PhysicsHIPhysicsRawPrime20, PhysicsHIPhysicsRawPrime21, PhysicsHIPhysicsRawPrime22, PhysicsHIPhysicsRawPrime23, PhysicsHIPhysicsRawPrime24, PhysicsHIPhysicsRawPrime25, PhysicsHIPhysicsRawPrime26, PhysicsHIPhysicsRawPrime27, PhysicsHIPhysicsRawPrime28, PhysicsHIPhysicsRawPrime29, PhysicsHIPhysicsRawPrime3, PhysicsHIPhysicsRawPrime30, PhysicsHIPhysicsRawPrime31, PhysicsHIPhysicsRawPrime4, PhysicsHIPhysicsRawPrime5, PhysicsHIPhysicsRawPrime6, PhysicsHIPhysicsRawPrime7, PhysicsHIPhysicsRawPrime8, PhysicsHIPhysicsRawPrime9|L1_ZDC2n_OR_MinimumBiasHF1_AND_BptxAND
HLT_HIMinimumBiasHF1ANDZDC2nOR_copy_v2|HIN|Yes|1000|HIEventDisplay(20), HIExpressPhysics, HIExpressPhysicsRawPrime, HIOnlineMonitor(20)|HIDQM, HIDQMEventDisplay, HIExpress, HIExpressRawPrime|L1_ZDC2n_OR_MinimumBiasHF1_AND_BptxAND
HLT_HIMinimumBiasHF1ANDZDC2nOR_Beamspot_v3|HIN, AlCa, TRK|Yes|1000|HIDQMOnlineBeamspot, HIExpressAlignment|HIDQMOnlineBeamspot, HIExpressAlignment|L1_ZDC2n_OR_MinimumBiasHF1_AND_BptxAND
HLT_HICentrality30100_FirstCollisionAfterAbortGap_v10|HIN|Yes|0|HIExpressPhysics(0), HIExpressPhysicsRawPrime(0), HIOnlineMonitor(0)|HIDQM, HIExpress, HIExpressRawPrime|L1_FirstCollisionInOrbit_Centrality30_100_BptxAND
HLT_HIL1Centrality30_50_v3|HIN|Yes|0|HIPhysicsRawPrime0, HIPhysicsRawPrime1, HIPhysicsRawPrime10, HIPhysicsRawPrime11, HIPhysicsRawPrime12, HIPhysicsRawPrime13, HIPhysicsRawPrime14, HIPhysicsRawPrime15, HIPhysicsRawPrime16, HIPhysicsRawPrime17, HIPhysicsRawPrime18, HIPhysicsRawPrime19, HIPhysicsRawPrime2, HIPhysicsRawPrime20, HIPhysicsRawPrime21, HIPhysicsRawPrime22, HIPhysicsRawPrime23, HIPhysicsRawPrime24, HIPhysicsRawPrime25, HIPhysicsRawPrime26, HIPhysicsRawPrime27, HIPhysicsRawPrime28, HIPhysicsRawPrime29, HIPhysicsRawPrime3, HIPhysicsRawPrime30, HIPhysicsRawPrime31, HIPhysicsRawPrime4, HIPhysicsRawPrime5, HIPhysicsRawPrime6, HIPhysicsRawPrime7, HIPhysicsRawPrime8, HIPhysicsRawPrime9|PhysicsHIPhysicsRawPrime0, PhysicsHIPhysicsRawPrime1, PhysicsHIPhysicsRawPrime10, PhysicsHIPhysicsRawPrime11, PhysicsHIPhysicsRawPrime12, PhysicsHIPhysicsRawPrime13, PhysicsHIPhysicsRawPrime14, PhysicsHIPhysicsRawPrime15, PhysicsHIPhysicsRawPrime16, PhysicsHIPhysicsRawPrime17, PhysicsHIPhysicsRawPrime18, PhysicsHIPhysicsRawPrime19, PhysicsHIPhysicsRawPrime2, PhysicsHIPhysicsRawPrime20, PhysicsHIPhysicsRawPrime21, PhysicsHIPhysicsRawPrime22, PhysicsHIPhysicsRawPrime23, PhysicsHIPhysicsRawPrime24, PhysicsHIPhysicsRawPrime25, PhysicsHIPhysicsRawPrime26, PhysicsHIPhysicsRawPrime27, PhysicsHIPhysicsRawPrime28, PhysicsHIPhysicsRawPrime29, PhysicsHIPhysicsRawPrime3, PhysicsHIPhysicsRawPrime30, PhysicsHIPhysicsRawPrime31, PhysicsHIPhysicsRawPrime4, PhysicsHIPhysicsRawPrime5, PhysicsHIPhysicsRawPrime6, PhysicsHIPhysicsRawPrime7, PhysicsHIPhysicsRawPrime8, PhysicsHIPhysicsRawPrime9|L1_Centrality_30_50_BptxAND
HLT_HIL1_UCC_0_0p5_v3|HIN|Yes|1|HIPhysicsRawPrime0, HIPhysicsRawPrime1, HIPhysicsRawPrime10, HIPhysicsRawPrime11, HIPhysicsRawPrime12, HIPhysicsRawPrime13, HIPhysicsRawPrime14, HIPhysicsRawPrime15, HIPhysicsRawPrime16, HIPhysicsRawPrime17, HIPhysicsRawPrime18, HIPhysicsRawPrime19, HIPhysicsRawPrime2, HIPhysicsRawPrime20, HIPhysicsRawPrime21, HIPhysicsRawPrime22, HIPhysicsRawPrime23, HIPhysicsRawPrime24, HIPhysicsRawPrime25, HIPhysicsRawPrime26, HIPhysicsRawPrime27, HIPhysicsRawPrime28, HIPhysicsRawPrime29, HIPhysicsRawPrime3, HIPhysicsRawPrime30, HIPhysicsRawPrime31, HIPhysicsRawPrime4, HIPhysicsRawPrime5, HIPhysicsRawPrime6, HIPhysicsRawPrime7, HIPhysicsRawPrime8, HIPhysicsRawPrime9|PhysicsHIPhysicsRawPrime0, PhysicsHIPhysicsRawPrime1, PhysicsHIPhysicsRawPrime10, PhysicsHIPhysicsRawPrime11, PhysicsHIPhysicsRawPrime12, PhysicsHIPhysicsRawPrime13, PhysicsHIPhysicsRawPrime14, PhysicsHIPhysicsRawPrime15, PhysicsHIPhysicsRawPrime16, PhysicsHIPhysicsRawPrime17, PhysicsHIPhysicsRawPrime18, PhysicsHIPhysicsRawPrime19, PhysicsHIPhysicsRawPrime2, PhysicsHIPhysicsRawPrime20, PhysicsHIPhysicsRawPrime21, PhysicsHIPhysicsRawPrime22, PhysicsHIPhysicsRawPrime23, PhysicsHIPhysicsRawPrime24, PhysicsHIPhysicsRawPrime25, PhysicsHIPhysicsRawPrime26, PhysicsHIPhysicsRawPrime27, PhysicsHIPhysicsRawPrime28, PhysicsHIPhysicsRawPrime29, PhysicsHIPhysicsRawPrime3, PhysicsHIPhysicsRawPrime30, PhysicsHIPhysicsRawPrime31, PhysicsHIPhysicsRawPrime4, PhysicsHIPhysicsRawPrime5, PhysicsHIPhysicsRawPrime6, PhysicsHIPhysicsRawPrime7, PhysicsHIPhysicsRawPrime8, PhysicsHIPhysicsRawPrime9|L1_Centrality_0_0p5_BptxAND
