Path,Owners,Online?,PS (2p0E34),Datasets (SmartPS),Streams,L1T Seed
AlCa_LumiPixelsCounts_ZeroBias_v15,AlCa& LUM,Yes,1,AlCaLumiPixelsCountsPrompt,ALCALumiPixelsCountsPrompt,L1_ZeroBias OR L1_AlwaysTrue
DQM_PixelReconstruction_v13,TRK& Tracker,Yes,10000,DQMGPUvsCPU,DQMGPUvsCPU,L1GlobalDecision
DQM_EcalReconstruction_v13,ECAL,Yes,10000,DQMGPUvsCPU,DQMGPUvsCPU,L1GlobalDecision
DQM_HcalReconstruction_v11,HCAL& PFlow,Yes,10000,DQMGPUvsCPU,DQMGPUvsCPU,L1GlobalDecision
DST_Physics_v17,TSG,Yes,10,L1Accept,NanoDST,
HLT_EcalCalibration_v4,AlCa& ECAL,Yes,1,EcalLaser& TestEnablesEcalHcal& TestEnablesEcalHcalDQM,Calibration& DQMCalibration& EcalCalibration,
HLT_HcalCalibration_v6,AlCa& HCAL,Yes,1,TestEnablesEcalHcal& TestEnablesEcalHcalDQM,Calibration& DQMCalibration,
HLT_HcalNZS_v22,AlCa& HCAL,Yes,1,HcalNZS& OnlineMonitor,DQM& PhysicsCommissioning,L1_ZeroBias OR L1_SingleJet90 OR L1_SingleJet120 OR L1_SingleJet140er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_DoubleJet40er2p5 OR L1_DoubleJet100er2p5 OR L1_DoubleJet120er2p5 OR L1_QuadJet60er2p5 OR L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT320er
HLT_HcalPhiSym_v24,AlCa& HCAL,Yes,1,HcalNZS& OnlineMonitor,DQM& PhysicsCommissioning,L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleEG10er2p5 OR L1_SingleEG15er2p5 OR L1_SingleEG26er2p5 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60 OR L1_SingleMu3 OR L1_SingleMu5 OR L1_SingleMu7 OR L1_SingleMu18 OR L1_SingleMu20 OR L1_SingleMu22 OR L1_SingleMu25 OR L1_DoubleMu_12_5 OR L1_DoubleMu_15_7 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p5 OR L1_SingleIsoEG28er2p5 OR L1_SingleIsoEG30er2p5 OR L1_SingleIsoEG32er2p5 OR L1_SingleIsoEG34er2p5 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_TripleMu_5_3_3 OR L1_TripleMu_5_5_3
HLT_Random_v3,AlCa& Tracker,Yes,40,ExpressPhysics& OnlineMonitor& ZeroBias,DQM& Express& PhysicsCommissioning,
HLT_Physics_v15,AlCa& L1T& Tracker,Yes,50,EventDisplay(10)& ExpressPhysics(2)& HLTPhysics& OnlineMonitor,DQM& DQMEventDisplay& Express& PhysicsCommissioning,
HLT_ZeroBias_v14,AlCa& BPH& JME& SMP& TRK& Tracker,Yes,6,ExpressPhysics(6)& OnlineMonitor& ZeroBias,DQM& Express& PhysicsCommissioning,L1_ZeroBias
HLT_ZeroBias_Beamspot_v18,TRK,Yes,50,DQMOnlineBeamspot& ExpressAlignment,DQMOnlineBeamspot& ExpressAlignment,L1_ZeroBias
HLT_ZeroBias_FirstCollisionAfterAbortGap_v13,AlCa& Tracker,Yes,1,ExpressPhysics& OnlineMonitor& ZeroBias,DQM& Express& PhysicsCommissioning,L1_FirstCollisionInOrbit
HLT_CDC_L2cosmic_10_er1p0_v11,AlCa& Tracker,Yes,1,NoBPTX& OnlineMonitor,DQM& PhysicsCommissioning,L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142
HLT_CDC_L2cosmic_5p5_er1p0_v11,AlCa& Tracker,Yes,3,NoBPTX& OnlineMonitor,DQM& PhysicsCommissioning,L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142
HLT_PPSMaxTracksPerArm1_v10,AlCa& PPS,Yes,5,AlCaPPSExpress& AlCaPPSPrompt,ALCAPPSExpress& ALCAPPSPrompt,L1_ZeroBias
HLT_PPSMaxTracksPerRP4_v10,AlCa& PPS,Yes,8,AlCaPPSExpress& AlCaPPSPrompt,ALCAPPSExpress& ALCAPPSPrompt,L1_ZeroBias
HLT_PPSRandom_v1,PPS,Yes,3,DQMPPSRandom,DQMPPSRandom,
HLT_HIL1UnpairedBunchBptxMinusForPPRef_v10,HIN,Yes,1,EmptyBX& OnlineMonitor,DQM& PhysicsCommissioning,L1_UnpairedBunchBptxMinus
HLT_HIL1UnpairedBunchBptxPlusForPPRef_v10,HIN,Yes,1,EmptyBX& OnlineMonitor,DQM& PhysicsCommissioning,L1_UnpairedBunchBptxPlus
HLT_HIL1NotBptxORForPPRef_v10,HIN,Yes,1,EmptyBX& OnlineMonitor,DQM& PhysicsCommissioning,L1_NotBptxOR
HLT_Random_HighRate_v1,PPS& Tracker,Yes,1,SpecialRandom0& SpecialRandom1& SpecialRandom10& SpecialRandom11& SpecialRandom12& SpecialRandom13& SpecialRandom14& SpecialRandom15& SpecialRandom16& SpecialRandom17& SpecialRandom18& SpecialRandom19& SpecialRandom2& SpecialRandom3& SpecialRandom4& SpecialRandom5& SpecialRandom6& SpecialRandom7& SpecialRandom8& SpecialRandom9,PhysicsSpecialRandom0& PhysicsSpecialRandom0& PhysicsSpecialRandom1& PhysicsSpecialRandom1& PhysicsSpecialRandom2& PhysicsSpecialRandom2& PhysicsSpecialRandom3& PhysicsSpecialRandom3& PhysicsSpecialRandom4& PhysicsSpecialRandom4& PhysicsSpecialRandom5& PhysicsSpecialRandom5& PhysicsSpecialRandom6& PhysicsSpecialRandom6& PhysicsSpecialRandom7& PhysicsSpecialRandom7& PhysicsSpecialRandom8& PhysicsSpecialRandom8& PhysicsSpecialRandom9& PhysicsSpecialRandom9,
HLT_HIHT80_Beamspot_Oxy5TeV_v1,HIN& TRK,Yes,1,DQMOnlineBeamspot& ExpressAlignment& HLTMonitor,DQMOnlineBeamspot& ExpressAlignment& HLTMonitor,L1_DoubleJet40er2p7 OR L1_DoubleJet50er2p7 OR L1_DoubleJet60er2p7 OR L1_DoubleJet80er2p7 OR L1_DoubleJet100er2p7 OR L1_DoubleJet112er2p7 OR L1_DoubleJet120er2p7 OR L1_DoubleJet150er2p7 OR L1_SingleJet80 OR L1_SingleJet90 OR L1_SingleJet120 OR L1_SingleJet140 OR L1_SingleJet150 OR L1_SingleJet160 OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200
HLT_MinimumBiasHF_AND_BptxAND_v1,HIN,Yes,1,IonPhysics0& IonPhysics1& IonPhysics10& IonPhysics11& IonPhysics12& IonPhysics13& IonPhysics14& IonPhysics15& IonPhysics16& IonPhysics17& IonPhysics18& IonPhysics19& IonPhysics2& IonPhysics20& IonPhysics21& IonPhysics22& IonPhysics23& IonPhysics24& IonPhysics25& IonPhysics26& IonPhysics27& IonPhysics28& IonPhysics29& IonPhysics3& IonPhysics30& IonPhysics31& IonPhysics32& IonPhysics33& IonPhysics34& IonPhysics35& IonPhysics36& IonPhysics37& IonPhysics38& IonPhysics39& IonPhysics4& IonPhysics40& IonPhysics41& IonPhysics42& IonPhysics43& IonPhysics44& IonPhysics45& IonPhysics46& IonPhysics47& IonPhysics48& IonPhysics49& IonPhysics5& IonPhysics50& IonPhysics51& IonPhysics52& IonPhysics53& IonPhysics54& IonPhysics55& IonPhysics56& IonPhysics57& IonPhysics58& IonPhysics59& IonPhysics6& IonPhysics7& IonPhysics8& IonPhysics9,PhysicsIonPhysics0& PhysicsIonPhysics1& PhysicsIonPhysics10& PhysicsIonPhysics11& PhysicsIonPhysics12& PhysicsIonPhysics13& PhysicsIonPhysics14& PhysicsIonPhysics15& PhysicsIonPhysics16& PhysicsIonPhysics17& PhysicsIonPhysics18& PhysicsIonPhysics19& PhysicsIonPhysics2& PhysicsIonPhysics20& PhysicsIonPhysics21& PhysicsIonPhysics22& PhysicsIonPhysics23& PhysicsIonPhysics24& PhysicsIonPhysics25& PhysicsIonPhysics26& PhysicsIonPhysics27& PhysicsIonPhysics28& PhysicsIonPhysics29& PhysicsIonPhysics3& PhysicsIonPhysics30& PhysicsIonPhysics31& PhysicsIonPhysics32& PhysicsIonPhysics33& PhysicsIonPhysics34& PhysicsIonPhysics35& PhysicsIonPhysics36& PhysicsIonPhysics37& PhysicsIonPhysics38& PhysicsIonPhysics39& PhysicsIonPhysics4& PhysicsIonPhysics40& PhysicsIonPhysics41& PhysicsIonPhysics42& PhysicsIonPhysics43& PhysicsIonPhysics44& PhysicsIonPhysics45& PhysicsIonPhysics46& PhysicsIonPhysics47& PhysicsIonPhysics48& PhysicsIonPhysics49& PhysicsIonPhysics5& PhysicsIonPhysics50& PhysicsIonPhysics51& PhysicsIonPhysics52& PhysicsIonPhysics53& PhysicsIonPhysics54& PhysicsIonPhysics55& PhysicsIonPhysics56& PhysicsIonPhysics57& PhysicsIonPhysics58& PhysicsIonPhysics59& PhysicsIonPhysics6& PhysicsIonPhysics7& PhysicsIonPhysics8& PhysicsIonPhysics9,L1_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasHF2_AND_BptxAND
HLT_MinimumBiasHF_OR_BptxAND_v1,HIN,Yes,1,IonPhysics0& IonPhysics1& IonPhysics10& IonPhysics11& IonPhysics12& IonPhysics13& IonPhysics14& IonPhysics15& IonPhysics16& IonPhysics17& IonPhysics18& IonPhysics19& IonPhysics2& IonPhysics20& IonPhysics21& IonPhysics22& IonPhysics23& IonPhysics24& IonPhysics25& IonPhysics26& IonPhysics27& IonPhysics28& IonPhysics29& IonPhysics3& IonPhysics30& IonPhysics31& IonPhysics32& IonPhysics33& IonPhysics34& IonPhysics35& IonPhysics36& IonPhysics37& IonPhysics38& IonPhysics39& IonPhysics4& IonPhysics40& IonPhysics41& IonPhysics42& IonPhysics43& IonPhysics44& IonPhysics45& IonPhysics46& IonPhysics47& IonPhysics48& IonPhysics49& IonPhysics5& IonPhysics50& IonPhysics51& IonPhysics52& IonPhysics53& IonPhysics54& IonPhysics55& IonPhysics56& IonPhysics57& IonPhysics58& IonPhysics59& IonPhysics6& IonPhysics7& IonPhysics8& IonPhysics9,PhysicsIonPhysics0& PhysicsIonPhysics1& PhysicsIonPhysics10& PhysicsIonPhysics11& PhysicsIonPhysics12& PhysicsIonPhysics13& PhysicsIonPhysics14& PhysicsIonPhysics15& PhysicsIonPhysics16& PhysicsIonPhysics17& PhysicsIonPhysics18& PhysicsIonPhysics19& PhysicsIonPhysics2& PhysicsIonPhysics20& PhysicsIonPhysics21& PhysicsIonPhysics22& PhysicsIonPhysics23& PhysicsIonPhysics24& PhysicsIonPhysics25& PhysicsIonPhysics26& PhysicsIonPhysics27& PhysicsIonPhysics28& PhysicsIonPhysics29& PhysicsIonPhysics3& PhysicsIonPhysics30& PhysicsIonPhysics31& PhysicsIonPhysics32& PhysicsIonPhysics33& PhysicsIonPhysics34& PhysicsIonPhysics35& PhysicsIonPhysics36& PhysicsIonPhysics37& PhysicsIonPhysics38& PhysicsIonPhysics39& PhysicsIonPhysics4& PhysicsIonPhysics40& PhysicsIonPhysics41& PhysicsIonPhysics42& PhysicsIonPhysics43& PhysicsIonPhysics44& PhysicsIonPhysics45& PhysicsIonPhysics46& PhysicsIonPhysics47& PhysicsIonPhysics48& PhysicsIonPhysics49& PhysicsIonPhysics5& PhysicsIonPhysics50& PhysicsIonPhysics51& PhysicsIonPhysics52& PhysicsIonPhysics53& PhysicsIonPhysics54& PhysicsIonPhysics55& PhysicsIonPhysics56& PhysicsIonPhysics57& PhysicsIonPhysics58& PhysicsIonPhysics59& PhysicsIonPhysics6& PhysicsIonPhysics7& PhysicsIonPhysics8& PhysicsIonPhysics9,L1_MinimumBiasHF1_OR_BptxAND OR L1_MinimumBiasHF2_OR_BptxAND
HLT_MinimumBiasZDC1n_OR_BptxAND_v1,HIN,Yes,1,IonPhysics0& IonPhysics1& IonPhysics10& IonPhysics11& IonPhysics12& IonPhysics13& IonPhysics14& IonPhysics15& IonPhysics16& IonPhysics17& IonPhysics18& IonPhysics19& IonPhysics2& IonPhysics20& IonPhysics21& IonPhysics22& IonPhysics23& IonPhysics24& IonPhysics25& IonPhysics26& IonPhysics27& IonPhysics28& IonPhysics29& IonPhysics3& IonPhysics30& IonPhysics31& IonPhysics32& IonPhysics33& IonPhysics34& IonPhysics35& IonPhysics36& IonPhysics37& IonPhysics38& IonPhysics39& IonPhysics4& IonPhysics40& IonPhysics41& IonPhysics42& IonPhysics43& IonPhysics44& IonPhysics45& IonPhysics46& IonPhysics47& IonPhysics48& IonPhysics49& IonPhysics5& IonPhysics50& IonPhysics51& IonPhysics52& IonPhysics53& IonPhysics54& IonPhysics55& IonPhysics56& IonPhysics57& IonPhysics58& IonPhysics59& IonPhysics6& IonPhysics7& IonPhysics8& IonPhysics9,PhysicsIonPhysics0& PhysicsIonPhysics1& PhysicsIonPhysics10& PhysicsIonPhysics11& PhysicsIonPhysics12& PhysicsIonPhysics13& PhysicsIonPhysics14& PhysicsIonPhysics15& PhysicsIonPhysics16& PhysicsIonPhysics17& PhysicsIonPhysics18& PhysicsIonPhysics19& PhysicsIonPhysics2& PhysicsIonPhysics20& PhysicsIonPhysics21& PhysicsIonPhysics22& PhysicsIonPhysics23& PhysicsIonPhysics24& PhysicsIonPhysics25& PhysicsIonPhysics26& PhysicsIonPhysics27& PhysicsIonPhysics28& PhysicsIonPhysics29& PhysicsIonPhysics3& PhysicsIonPhysics30& PhysicsIonPhysics31& PhysicsIonPhysics32& PhysicsIonPhysics33& PhysicsIonPhysics34& PhysicsIonPhysics35& PhysicsIonPhysics36& PhysicsIonPhysics37& PhysicsIonPhysics38& PhysicsIonPhysics39& PhysicsIonPhysics4& PhysicsIonPhysics40& PhysicsIonPhysics41& PhysicsIonPhysics42& PhysicsIonPhysics43& PhysicsIonPhysics44& PhysicsIonPhysics45& PhysicsIonPhysics46& PhysicsIonPhysics47& PhysicsIonPhysics48& PhysicsIonPhysics49& PhysicsIonPhysics5& PhysicsIonPhysics50& PhysicsIonPhysics51& PhysicsIonPhysics52& PhysicsIonPhysics53& PhysicsIonPhysics54& PhysicsIonPhysics55& PhysicsIonPhysics56& PhysicsIonPhysics57& PhysicsIonPhysics58& PhysicsIonPhysics59& PhysicsIonPhysics6& PhysicsIonPhysics7& PhysicsIonPhysics8& PhysicsIonPhysics9,L1_MinimumBiasZDC1n_Th1_OR_BptxAND OR L1_MinimumBiasZDC1n_Th2_OR_BptxAND OR L1_MinimumBiasZDC1n_Th3_OR_BptxAND
HLT_MinimumBiasZDC1n_OR_MinimumBiasHF_AND_BptxAND_v1,HIN,Yes,1,IonPhysics0& IonPhysics1& IonPhysics10& IonPhysics11& IonPhysics12& IonPhysics13& IonPhysics14& IonPhysics15& IonPhysics16& IonPhysics17& IonPhysics18& IonPhysics19& IonPhysics2& IonPhysics20& IonPhysics21& IonPhysics22& IonPhysics23& IonPhysics24& IonPhysics25& IonPhysics26& IonPhysics27& IonPhysics28& IonPhysics29& IonPhysics3& IonPhysics30& IonPhysics31& IonPhysics32& IonPhysics33& IonPhysics34& IonPhysics35& IonPhysics36& IonPhysics37& IonPhysics38& IonPhysics39& IonPhysics4& IonPhysics40& IonPhysics41& IonPhysics42& IonPhysics43& IonPhysics44& IonPhysics45& IonPhysics46& IonPhysics47& IonPhysics48& IonPhysics49& IonPhysics5& IonPhysics50& IonPhysics51& IonPhysics52& IonPhysics53& IonPhysics54& IonPhysics55& IonPhysics56& IonPhysics57& IonPhysics58& IonPhysics59& IonPhysics6& IonPhysics7& IonPhysics8& IonPhysics9,PhysicsIonPhysics0& PhysicsIonPhysics1& PhysicsIonPhysics10& PhysicsIonPhysics11& PhysicsIonPhysics12& PhysicsIonPhysics13& PhysicsIonPhysics14& PhysicsIonPhysics15& PhysicsIonPhysics16& PhysicsIonPhysics17& PhysicsIonPhysics18& PhysicsIonPhysics19& PhysicsIonPhysics2& PhysicsIonPhysics20& PhysicsIonPhysics21& PhysicsIonPhysics22& PhysicsIonPhysics23& PhysicsIonPhysics24& PhysicsIonPhysics25& PhysicsIonPhysics26& PhysicsIonPhysics27& PhysicsIonPhysics28& PhysicsIonPhysics29& PhysicsIonPhysics3& PhysicsIonPhysics30& PhysicsIonPhysics31& PhysicsIonPhysics32& PhysicsIonPhysics33& PhysicsIonPhysics34& PhysicsIonPhysics35& PhysicsIonPhysics36& PhysicsIonPhysics37& PhysicsIonPhysics38& PhysicsIonPhysics39& PhysicsIonPhysics4& PhysicsIonPhysics40& PhysicsIonPhysics41& PhysicsIonPhysics42& PhysicsIonPhysics43& PhysicsIonPhysics44& PhysicsIonPhysics45& PhysicsIonPhysics46& PhysicsIonPhysics47& PhysicsIonPhysics48& PhysicsIonPhysics49& PhysicsIonPhysics5& PhysicsIonPhysics50& PhysicsIonPhysics51& PhysicsIonPhysics52& PhysicsIonPhysics53& PhysicsIonPhysics54& PhysicsIonPhysics55& PhysicsIonPhysics56& PhysicsIonPhysics57& PhysicsIonPhysics58& PhysicsIonPhysics59& PhysicsIonPhysics6& PhysicsIonPhysics7& PhysicsIonPhysics8& PhysicsIonPhysics9,L1_MinimumBiasZDC1n_Th1_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th2_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th3_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th1_OR_MinimumBiasHF2_AND_BptxAND OR L1_MinimumBiasZDC1n_Th2_OR_MinimumBiasHF2_AND_BptxAND OR L1_MinimumBiasZDC1n_Th3_OR_MinimumBiasHF2_AND_BptxAND
