Path|Owners|Online?|PS (2e34)|Datasets (SmartPS)|Streams|L1T Seed
AlCa_LumiPixelsCounts_ZeroBias_v9|AlCa, LUM|Yes||AlCaLumiPixelsCountsPrompt|ALCALumiPixelsCountsPrompt|L1_ZeroBias
AlCa_PFJet40_v27|JME|Yes||AlCaLowPtJet|ALCALowPtJet|L1_ZeroBias
AlCa_PFJet40_CPUOnly_v6|TSG|Yes||||L1_ZeroBias
AlCa_AK8PFJet40_v22|JME|Yes||AlCaLowPtJet|ALCALowPtJet|L1_ZeroBias
DQM_PixelReconstruction_v9|TSG (DQM)|Yes||DQMGPUvsCPU|DQMGPUvsCPU|L1GlobalDecision
DQM_EcalReconstruction_v9|TSG (DQM)|Yes||DQMGPUvsCPU|DQMGPUvsCPU|L1GlobalDecision
DQM_HcalReconstruction_v7|TSG (DQM)|Yes||DQMGPUvsCPU|DQMGPUvsCPU|L1GlobalDecision
DST_ZeroBias_v6|TSG|Yes||L1Accept|NanoDST|L1_ZeroBias
DST_Physics_v11|TSG|Yes||L1Accept|NanoDST|
DST_PFScouting_DoubleMuon_v1|EXO, TSG (Scouting)|Yes||ScoutingPFMonitor(1000), ScoutingPFRun3|PhysicsScoutingPFMonitor, ScoutingPF|L1_DoubleMu_12_5 OR L1_DoubleMu_15_7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18 OR L1_DoubleMu8_SQ OR L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2 OR L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu5_SQ_OS_dR_Max1p6 OR L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p6 OR L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu0_Upt15_Upt7 OR L1_DoubleMu0_Upt6_IP_Min1_Upt4 OR L1_DoubleMu6_Upt6_SQ_er2p0 OR L1_DoubleMu7_Upt7_SQ_er2p0 OR L1_DoubleMu8_Upt8_SQ_er2p0 OR L1_DoubleMu0er2p0_SQ_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_dEta_Max1p5
DST_PFScouting_DoubleEG_v1|EXO, TSG (Scouting)|Yes||ScoutingPFMonitor(1000), ScoutingPFRun3|PhysicsScoutingPFMonitor, ScoutingPF|L1_DoubleEG_LooseIso16_LooseIso12_er1p5 OR L1_DoubleEG_LooseIso18_LooseIso12_er1p5 OR L1_DoubleEG_LooseIso20_LooseIso12_er1p5 OR L1_DoubleEG_LooseIso22_LooseIso12_er1p5 OR L1_DoubleEG11_er1p2_dR_Max0p6
DST_PFScouting_JetHT_v1|EXO, TSG (Scouting)|Yes||ScoutingPFMonitor(1000), ScoutingPFRun3|PhysicsScoutingPFMonitor, ScoutingPF|L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er OR L1_ETT2000 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_DoubleJet30er2p5_Mass_Min250_dEta_Max1p5 OR L1_DoubleJet30er2p5_Mass_Min300_dEta_Max1p5 OR L1_DoubleJet30er2p5_Mass_Min330_dEta_Max1p5
DST_PFScouting_DatasetMuon_v1|EXO, TSG (Scouting)|Yes||ScoutingPFRun3|ScoutingPF|
DST_PFScouting_AXONominal_v1|EXO, TSG (Scouting)|Yes||ScoutingPFMonitor(100), ScoutingPFRun3|PhysicsScoutingPFMonitor, ScoutingPF|L1_AXO_Nominal
DST_PFScouting_AXOTight_v1|EXO, TSG (Scouting)|Yes||ScoutingPFMonitor(100), ScoutingPFRun3|PhysicsScoutingPFMonitor, ScoutingPF|L1_AXO_Tight
DST_PFScouting_SingleMuon_v1|BPH, TSG (Scouting)|Yes||ScoutingPFMonitor(1000), ScoutingPFRun3|PhysicsScoutingPFMonitor, ScoutingPF|L1_SingleMu10_SQ14_BMTF OR L1_SingleMu11_SQ14_BMTF
HLT_EphemeralPhysics_v6|TSG|Yes||EphemeralHLTPhysics0, EphemeralHLTPhysics1, EphemeralHLTPhysics2, EphemeralHLTPhysics3, EphemeralHLTPhysics4, EphemeralHLTPhysics5, EphemeralHLTPhysics6, EphemeralHLTPhysics7|PhysicsHLTPhysics0, PhysicsHLTPhysics0, PhysicsHLTPhysics1, PhysicsHLTPhysics1, PhysicsHLTPhysics2, PhysicsHLTPhysics2, PhysicsHLTPhysics3, PhysicsHLTPhysics3|
HLT_EphemeralZeroBias_v6|TSG|Yes||EphemeralZeroBias0, EphemeralZeroBias1, EphemeralZeroBias2, EphemeralZeroBias3, EphemeralZeroBias4, EphemeralZeroBias5, EphemeralZeroBias6, EphemeralZeroBias7|PhysicsZeroBias0, PhysicsZeroBias0, PhysicsZeroBias1, PhysicsZeroBias1, PhysicsZeroBias2, PhysicsZeroBias2, PhysicsZeroBias3, PhysicsZeroBias3|L1_ZeroBias_copy
HLT_EcalCalibration_v4|AlCa, ECAL|Yes||EcalLaser, TestEnablesEcalHcal, TestEnablesEcalHcalDQM|Calibration, DQMCalibration, EcalCalibration|
HLT_HcalCalibration_v6|AlCa, HCAL|Yes||TestEnablesEcalHcal, TestEnablesEcalHcalDQM|Calibration, DQMCalibration|
HLT_HcalNZS_v18|AlCa|Yes||HcalNZS, OnlineMonitor|DQM, PhysicsCommissioning|L1_ZeroBias OR L1_SingleJet90 OR L1_SingleJet120 OR L1_SingleJet140er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_DoubleJet40er2p5 OR L1_DoubleJet100er2p5 OR L1_DoubleJet120er2p5 OR L1_QuadJet60er2p5 OR L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT320er
HLT_HcalPhiSym_v20|AlCa|Yes||HcalNZS, OnlineMonitor|DQM, PhysicsCommissioning|L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleEG10er2p5 OR L1_SingleEG15er2p5 OR L1_SingleEG26er2p5 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60 OR L1_SingleMu3 OR L1_SingleMu5 OR L1_SingleMu7 OR L1_SingleMu18 OR L1_SingleMu20 OR L1_SingleMu22 OR L1_SingleMu25 OR L1_DoubleMu_12_5 OR L1_DoubleMu_15_7 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p5 OR L1_SingleIsoEG28er2p5 OR L1_SingleIsoEG30er2p5 OR L1_SingleIsoEG32er2p5 OR L1_SingleIsoEG34er2p5 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_TripleEG_18_17_8_er2p5 OR L1_TripleMu_5_3_3 OR L1_TripleMu_5_5_3 OR L1_DoubleMu_15_7
HLT_Random_v3|AlCa (Express)|Yes||ExpressPhysics, OnlineMonitor, ZeroBias|DQM, Express, PhysicsCommissioning|
HLT_Physics_v11|AlCa (Express)|Yes||ExpressPhysics(2), HLTPhysics, OnlineMonitor|DQM, Express, PhysicsCommissioning|
HLT_ZeroBias_v10|AlCa (Express), BPH, SMP|Yes||EventDisplay(0), ExpressPhysics(2), OnlineMonitor, ZeroBias|DQM, DQMEventDisplay, Express, PhysicsCommissioning|L1_ZeroBias
HLT_ZeroBias_Alignment_v5|AlCa (Express)|Yes||ExpressPhysics(6), OnlineMonitor, ZeroBias|DQM, Express, PhysicsCommissioning|L1_ZeroBias
HLT_ZeroBias_Beamspot_v11|AlCa, TRK|Yes||DQMOnlineBeamspot, ExpressAlignment|DQMOnlineBeamspot, ExpressAlignment|L1_ZeroBias
HLT_ZeroBias_IsolatedBunches_v9|AlCa (Express)|Yes||ExpressPhysics, OnlineMonitor, ZeroBias|DQM, Express, PhysicsCommissioning|L1_IsolatedBunch
HLT_ZeroBias_FirstBXAfterTrain_v7|DPG|Yes||OnlineMonitor, ZeroBias|DQM, PhysicsCommissioning|L1_FirstBunchAfterTrain
HLT_ZeroBias_FirstCollisionAfterAbortGap_v9|AlCa (Express)|Yes||ExpressPhysics, OnlineMonitor, ZeroBias|DQM, Express, PhysicsCommissioning|L1_FirstCollisionInOrbit
HLT_ZeroBias_FirstCollisionInTrain_v8|DPG|Yes||OnlineMonitor, ZeroBias|DQM, PhysicsCommissioning|L1_FirstCollisionInTrain AND (NOT L1_FirstCollisionInOrbit)
HLT_ZeroBias_LastCollisionInTrain_v7|DPG|Yes||OnlineMonitor, ZeroBias|DQM, PhysicsCommissioning|L1_LastCollisionInTrain
HLT_HT300_Beamspot_v18|AlCa, TRK|Yes||DQMOnlineBeamspot, ExpressAlignment|DQMOnlineBeamspot, ExpressAlignment|L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_ETT2000 OR L1_HTT400er OR L1_HTT450er OR L1_SingleJet120 OR L1_SingleJet140er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_DoubleJet40er2p5 OR L1_DoubleJet100er2p5 OR L1_DoubleJet120er2p5
HLT_IsoTrackHB_v11|HCAL|Yes||Commissioning, OnlineMonitor|DQM, PhysicsCommissioning|L1_SingleJet60 OR L1_SingleJet200 OR L1_DoubleJet120er2p5
HLT_IsoTrackHE_v11|HCAL|Yes||Commissioning, OnlineMonitor|DQM, PhysicsCommissioning|L1_SingleJet60 OR L1_SingleJet200 OR L1_DoubleJet120er2p5
HLT_PFJet40_GPUvsCPU_v4|TSG|Yes||Commissioning|PhysicsCommissioning|
HLT_AK8PFJet380_SoftDropMass30_v1|HIG, B2G|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8PFJet400_SoftDropMass30_v1|HIG, B2G|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8PFJet425_SoftDropMass30_v1|HIG, B2G|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8PFJet450_SoftDropMass30_v1|HIG, B2G|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8DiPFJet250_250_SoftDropMass40_v1|B2G|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8DiPFJet250_250_SoftDropMass50_v1|B2G|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8DiPFJet260_260_SoftDropMass30_v1|B2G|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8DiPFJet260_260_SoftDropMass40_v1|B2G|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8DiPFJet270_270_SoftDropMass30_v1|B2G|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8DiPFJet280_280_SoftDropMass30_v7|B2G|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8DiPFJet290_290_SoftDropMass30_v1|B2G|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_CaloJet500_NoJetID_v19|TOP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_CaloJet550_NoJetID_v14|EGM|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_DoubleMu5_Upsilon_DoubleEle3_CaloIdL_TrackIdL_v11|BPH|Yes||OnlineMonitor, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass4, ParkingDoubleMuonLowMass5, ParkingDoubleMuonLowMass6, ParkingDoubleMuonLowMass7|DQM, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass3|L1_DoubleMu5_OS_er2p3_Mass_8to14_DoubleEG3er2p1_Mass_Max20
HLT_DoubleMu3_DoubleEle7p5_CaloIdL_TrackIdL_Upsilon_v11|BPH|Yes||OnlineMonitor, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass4, ParkingDoubleMuonLowMass5, ParkingDoubleMuonLowMass6, ParkingDoubleMuonLowMass7|DQM, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass3|L1_DoubleMu3_OS_er2p3_Mass_Max14_DoubleEG7p5_er2p1_Mass_Max20
HLT_Trimuon5_3p5_2_Upsilon_Muon_v12|BPH, HIG|Yes||OnlineMonitor, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass4, ParkingDoubleMuonLowMass5, ParkingDoubleMuonLowMass6, ParkingDoubleMuonLowMass7|DQM, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass3|L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17 OR L1_TripleMu_5_4_2p5_DoubleMu_5_2p5_OS_Mass_5to17
HLT_TrimuonOpen_5_3p5_2_Upsilon_Muon_v10|BPH|Yes||OnlineMonitor, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass4, ParkingDoubleMuonLowMass5, ParkingDoubleMuonLowMass6, ParkingDoubleMuonLowMass7|DQM, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass3|L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9
HLT_DoubleEle25_CaloIdL_MW_v12|EGM, HIG, SMP, TOP|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG26er2p5 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1 OR L1_SingleTau130er2p1
HLT_DoubleEle27_CaloIdL_MW_v12|EGM, HIG|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG26er2p5 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1 OR L1_SingleTau130er2p1
HLT_DoubleEle33_CaloIdL_MW_v25|HIG, SMP, SUS|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG26er2p5 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1 OR L1_SingleTau130er2p1
HLT_DoubleEle24_eta2p1_WPTight_Gsf_v14|TAU|Yes||||L1_DoubleLooseIsoEG22er2p1 OR L1_DoubleLooseIsoEG24er2p1
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_DZ_PFHT350_v27|SUS|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_DoubleEG8er2p5_HTT280er OR L1_DoubleEG8er2p5_HTT300er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_ETT2000 OR L1_HTT400er OR L1_HTT450er
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350_v27|SUS|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_DoubleEG8er2p5_HTT280er OR L1_DoubleEG8er2p5_HTT300er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_ETT2000 OR L1_HTT400er OR L1_HTT450er
HLT_Mu27_Ele37_CaloIdL_MW_v12|B2G, TOP|Yes||MuonEG, OnlineMonitor|DQM, PhysicsDispJetBTagMuEGTau|L1_SingleMu25
